bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
0	70	725.44	333.70	181.36	50.78	29.02	14.51	14.51	36.27	7.25	14.51	7.25	14.51	7.25	
1	23	923.86	517.36	92.39	36.95	46.19	18.48	73.91	27.72	36.95	27.72	9.24	18.48	9.24	
2	56	568.91	85.34	39.82	113.78	68.27	62.58	11.38	39.82	34.13	68.27	17.07	11.38	11.38	
3	57	471.46	80.15	84.86	0.00	127.29	18.86	4.71	70.72	18.86	4.71	23.57	18.86	4.71	
4	43	639.95	44.80	89.59	32.00	172.79	159.99	12.80	25.60	25.60	0.00	32.00	25.60	6.40	
5	72	519.84	72.78	41.59	41.59	88.37	0.00	15.60	0.00	67.58	77.98	10.40	5.20	10.40	
6	39	788.85	307.65	134.10	173.55	7.89	15.78	39.44	15.78	39.44	23.67	0.00	15.78	7.89	
7	9	405.14	101.29	24.31	24.31	36.46	36.46	52.67	24.31	20.26	20.26	0.00	20.26	12.15	
8	3	45.13	1.81	2.71	15.80	8.58	6.32	5.87	0.00	0.90	1.35	0.90	0.00	0.00	
9	58	232.54	65.11	58.14	30.23	16.28	34.88	11.63	6.98	4.65	2.33	2.33	0.00	0.00	
10	10	599.18	317.57	41.94	137.81	17.98	5.99	23.97	23.97	5.99	11.98	5.99	5.99	0.00	
11	14	161.19	11.28	20.95	4.84	16.12	43.52	16.12	20.95	8.06	8.06	6.45	3.22	0.00	
12	8	819.22	253.96	16.38	270.34	65.54	8.19	49.15	32.77	24.58	40.96	16.38	8.19	8.19	
13	6	624.06	205.94	174.74	149.77	6.24	12.48	31.20	12.48	18.72	6.24	0.00	0.00	6.24	
14	30	223.57	109.55	11.18	6.71	11.18	17.89	8.94	33.54	4.47	13.41	2.24	2.24	2.24	
15	10	325.32	58.56	104.10	65.06	52.05	3.25	9.76	13.01	3.25	3.25	6.51	0.00	3.25	
16	54	820.02	73.80	229.61	57.40	90.20	205.01	8.20	41.00	57.40	16.40	8.20	24.60	0.00	
17	74	633.01	348.16	18.99	12.66	75.96	0.00	31.65	0.00	18.99	50.64	12.66	37.98	18.99	
18	38	469.34	14.08	37.55	14.08	206.51	61.01	18.77	23.47	4.69	42.24	14.08	9.39	4.69	
19	56	744.32	297.73	126.53	111.65	29.77	22.33	52.10	59.55	14.89	7.44	14.89	0.00	7.44	
20	21	683.03	252.72	218.57	68.30	47.81	27.32	6.83	13.66	13.66	6.83	6.83	13.66	6.83	
21	0	115.82	59.07	5.79	1.16	12.74	0.00	6.95	13.90	5.79	3.47	1.16	1.16	3.47	
22	22	328.48	167.53	9.85	68.98	29.56	16.42	3.28	6.57	16.42	6.57	0.00	3.28	0.00	
23	29	666.75	13.34	93.35	286.70	86.68	46.67	33.34	46.67	40.01	0.00	13.34	0.00	6.67	
24	46	185.64	107.67	38.98	11.14	1.86	12.99	7.43	0.00	0.00	1.86	0.00	1.86	1.86	
25	64	144.85	72.42	43.45	8.69	2.90	7.24	4.35	1.45	1.45	1.45	1.45	0.00	0.00	
26	29	824.81	189.71	321.68	65.98	82.48	57.74	24.74	41.24	24.74	8.25	8.25	0.00	0.00	
27	12	428.94	81.50	17.16	171.58	60.05	8.58	12.87	12.87	8.58	17.16	0.00	21.45	8.58	
28	67	296.49	38.54	35.58	88.95	29.65	35.58	11.86	23.72	11.86	5.93	8.89	0.00	2.96	
29	76	991.14	406.37	39.65	29.73	79.29	99.11	178.40	99.11	29.73	0.00	0.00	0.00	9.91	
30	23	130.98	69.42	13.10	1.31	26.20	2.62	1.31	2.62	5.24	0.00	5.24	1.31	1.31	
31	45	983.77	186.92	206.59	206.59	98.38	108.21	19.68	78.70	49.19	19.68	0.00	0.00	0.00	
32	31	924.53	249.62	166.41	166.41	0.00	27.74	36.98	92.45	110.94	0.00	27.74	18.49	9.25	
33	61	607.33	18.22	103.25	157.91	91.10	12.15	103.25	6.07	12.15	36.44	30.37	6.07	6.07	
34	27	671.62	147.76	214.92	60.45	120.89	33.58	40.30	20.15	13.43	6.72	0.00	6.72	6.72	
35	62	379.27	30.34	68.27	102.40	87.23	7.59	30.34	22.76	18.96	7.59	0.00	0.00	0.00	
36	73	121.36	70.39	7.28	2.43	8.50	8.50	3.64	3.64	7.28	1.21	3.64	1.21	1.21	
37	8	407.73	85.62	69.31	93.78	28.54	32.62	24.46	16.31	16.31	24.46	8.15	0.00	4.08	
38	19	964.73	173.65	9.65	328.01	106.12	77.18	19.29	77.18	67.53	38.59	0.00	19.29	19.29	
39	26	697.35	320.78	27.89	62.76	167.36	69.74	27.89	0.00	6.97	0.00	0.00	0.00	0.00	
40	57	73.81	0.74	8.86	31.00	14.02	3.69	1.48	3.69	5.90	0.00	2.21	0.74	0.74	
41	51	217.64	8.71	113.17	15.23	23.94	4.35	8.71	2.18	15.23	15.23	2.18	4.35	2.18	
42	24	333.70	136.82	60.07	63.40	6.67	13.35	30.03	0.00	6.67	3.34	3.34	3.34	3.34	
43	65	960.04	28.80	556.82	201.61	96.00	9.60	28.80	19.20	9.60	0.00	9.60	0.00	0.00	
44	42	650.14	162.54	169.04	58.51	13.00	52.01	52.01	45.51	19.50	19.50	13.00	13.00	0.00	
45	31	433.09	220.88	69.29	21.65	30.32	21.65	43.31	12.99	4.33	4.33	0.00	4.33	0.00	
46	32	345.57	0.00	107.13	69.11	38.01	41.47	34.56	3.46	0.00	13.82	20.73	10.37	3.46	
47	39	101.61	26.42	13.21	6.10	14.22	4.06	17.27	7.11	7.11	0.00	3.05	1.02	1.02	
48	20	533.96	160.19	197.56	16.02	16.02	64.07	48.06	10.68	5.34	5.34	0.00	0.00	5.34	
49	46	694.83	83.38	125.07	104.22	13.90	104.22	41.69	76.43	13.90	20.84	34.74	20.84	27.79	
50	39	898.84	17.98	62.92	386.50	116.85	71.91	134.83	35.95	8.99	8.99	0.00	8.99	0.00	
51	2	289.19	141.70	83.86	26.03	11.57	0.00	17.35	0.00	0.00	2.89	0.00	2.89	2.89	
52	20	94.11	16.94	23.53	16.94	13.18	7.53	0.94	7.53	2.82	1.88	0.94	0.94	0.00	
53	47	736.67	235.74	184.17	88.40	73.67	14.73	81.03	29.47	22.10	0.00	0.00	7.37	0.00	
54	61	295.08	56.07	115.08	0.00	5.90	38.36	47.21	8.85	14.75	2.95	0.00	0.00	2.95	
55	44	653.21	45.72	176.37	58.79	71.85	78.39	71.85	58.79	58.79	6.53	19.60	6.53	0.00	
56	27	96.85	50.36	16.47	6.78	13.56	0.97	2.91	2.91	0.97	0.97	0.97	0.00	0.00	
57	77	518.84	254.23	150.46	62.26	15.57	10.38	15.57	5.19	5.19	0.00	0.00	0.00	0.00	
58	67	383.62	42.20	72.89	19.18	15.34	11.51	92.07	19.18	34.53	23.02	19.18	7.67	7.67	
59	37	860.73	249.61	146.32	8.61	17.21	51.64	68.86	25.82	111.89	68.86	17.21	34.43	17.21	
60	69	168.36	15.15	43.77	33.67	23.57	15.15	11.79	15.15	5.05	1.68	1.68	1.68	0.00	
61	75	300.51	36.06	159.27	15.03	18.03	24.04	12.02	15.03	6.01	6.01	3.01	3.01	3.01	
62	51	967.08	309.47	261.11	87.04	96.71	48.35	58.02	9.67	29.01	0.00	29.01	0.00	9.67	
63	28	930.64	204.74	409.48	111.68	74.45	9.31	74.45	27.92	9.31	0.00	0.00	9.31	0.00	
64	15	561.08	252.49	56.11	123.44	78.55	5.61	11.22	5.61	11.22	0.00	11.22	5.61	0.00	
65	53	943.74	66.06	226.50	56.62	28.31	132.12	9.44	245.37	28.31	47.19	37.75	18.87	18.87	
66	28	97.96	39.18	7.84	4.90	1.96	5.88	0.00	10.78	9.80	0.00	0.98	4.90	2.94	
67	71	249.50	14.97	2.50	107.29	47.41	39.92	19.96	2.50	2.50	0.00	0.00	2.50	0.00	
68	49	266.82	13.34	40.02	48.03	40.02	8.00	37.36	18.68	13.34	26.68	10.67	2.67	5.34	
69	34	472.37	75.58	118.09	18.89	75.58	42.51	23.62	9.45	42.51	4.72	28.34	14.17	9.45	
70	34	682.72	13.65	122.89	88.75	170.68	95.58	27.31	47.79	27.31	47.79	20.48	6.83	6.83	
71	76	899.77	278.93	332.91	116.97	53.99	9.00	62.98	9.00	9.00	9.00	9.00	0.00	0.00	
72	7	852.37	221.62	213.09	0.00	153.43	161.95	25.57	34.09	0.00	0.00	17.05	8.52	0.00	
73	45	734.39	308.44	146.88	95.47	66.10	66.10	7.34	0.00	14.69	0.00	0.00	14.69	7.34	
74	55	939.54	291.26	93.95	28.19	159.72	28.19	150.33	75.16	37.58	46.98	0.00	0.00	9.40	
75	20	159.41	23.91	55.79	27.10	12.75	9.56	19.13	0.00	4.78	1.59	0.00	0.00	0.00	
76	63	570.16	34.21	182.45	85.52	28.51	91.23	62.72	51.31	5.70	17.10	0.00	5.70	0.00	
77	9	935.77	28.07	327.52	280.73	46.79	140.37	56.15	9.36	28.07	9.36	0.00	0.00	0.00	
78	50	729.52	211.56	65.66	124.02	124.02	21.89	0.00	36.48	29.18	43.77	29.18	14.59	14.59	
79	59	372.78	167.75	37.28	18.64	33.55	22.37	22.37	44.73	0.00	3.73	11.18	3.73	0.00	
80	21	317.23	117.37	0.00	22.21	34.89	6.34	19.03	31.72	15.86	25.38	15.86	3.17	9.52	
81	71	825.79	330.32	49.55	222.96	66.06	49.55	33.03	0.00	24.77	16.52	8.26	8.26	8.26	
82	54	598.81	173.66	137.73	41.92	119.76	41.92	11.98	41.92	11.98	0.00	11.98	5.99	0.00	
83	7	327.03	189.68	29.43	0.00	39.24	3.27	29.43	3.27	9.81	3.27	9.81	0.00	3.27	
84	13	879.60	325.45	255.08	175.92	8.80	8.80	35.18	17.59	17.59	26.39	0.00	8.80	0.00	
85	21	420.97	113.66	42.10	8.42	117.87	54.73	21.05	12.63	29.47	8.42	8.42	0.00	0.00	
86	28	529.82	31.79	238.42	5.30	10.60	26.49	10.60	105.96	0.00	37.09	21.19	10.60	5.30	
87	67	796.84	39.84	215.15	294.83	135.46	15.94	0.00	31.87	23.91	7.97	23.91	7.97	0.00	
88	48	607.68	285.61	60.77	97.23	36.46	24.31	6.08	60.77	0.00	12.15	12.15	6.08	0.00	
89	60	354.34	205.52	88.58	14.17	28.35	7.09	3.54	3.54	0.00	3.54	0.00	0.00	0.00	
90	64	904.87	171.93	54.29	235.27	99.54	63.34	144.78	27.15	27.15	18.10	9.05	36.19	9.05	
91	63	42.13	10.53	14.32	1.69	2.95	0.84	1.69	2.95	1.26	3.79	0.42	0.42	0.42	
92	10	219.59	61.48	65.88	50.50	4.39	15.37	8.78	8.78	2.20	2.20	0.00	0.00	0.00	
93	26	231.25	115.62	39.31	4.62	32.37	2.31	13.87	6.94	9.25	0.00	0.00	4.62	0.00	
94	65	34.22	18.48	1.71	7.19	0.34	2.40	1.37	0.68	0.00	0.34	0.34	1.03	0.34	
95	76	759.45	326.56	174.67	83.54	60.76	68.35	30.38	7.59	0.00	0.00	0.00	7.59	0.00	
96	58	825.12	297.04	288.79	57.76	24.75	16.50	16.50	41.26	24.75	33.00	8.25	0.00	0.00	
97	35	760.16	83.62	129.23	30.41	106.42	60.81	0.00	60.81	114.02	30.41	15.20	45.61	30.41	
98	47	792.70	428.06	23.78	71.34	79.27	47.56	55.49	7.93	47.56	23.78	7.93	0.00	0.00	
99	26	297.02	142.57	32.67	41.58	47.52	0.00	5.94	14.85	8.91	2.97	0.00	0.00	0.00	
100	33	502.30	140.64	135.62	115.53	45.21	15.07	10.05	20.09	10.05	5.02	5.02	0.00	0.00	
101	54	908.63	345.28	0.00	227.16	63.60	36.35	136.30	63.60	27.26	0.00	9.09	0.00	0.00	
102	31	445.34	17.81	106.88	84.61	53.44	71.25	48.99	4.45	26.72	4.45	4.45	8.91	4.45	
103	30	847.15	135.54	254.14	271.09	101.66	16.94	16.94	16.94	0.00	8.47	8.47	8.47	8.47	
104	9	841.20	143.00	168.24	311.25	84.12	8.41	75.71	0.00	25.24	8.41	0.00	0.00	8.41	
105	72	909.77	227.44	18.20	200.15	9.10	72.78	181.95	118.27	9.10	27.29	18.20	18.20	0.00	
106	9	622.37	118.25	186.71	155.59	12.45	56.01	49.79	18.67	0.00	6.22	6.22	0.00	0.00	
107	1	826.26	247.88	214.83	66.10	99.15	90.89	33.05	0.00	24.79	8.26	24.79	0.00	8.26	
108	73	796.94	334.72	183.30	7.97	79.69	7.97	79.69	7.97	55.79	7.97	7.97	7.97	7.97	
109	64	613.31	110.40	85.86	12.27	30.67	196.26	85.86	24.53	36.80	18.40	6.13	6.13	0.00	
110	12	627.44	188.23	219.60	119.21	31.37	18.82	12.55	25.10	6.27	6.27	0.00	0.00	0.00	
111	61	744.22	7.44	66.98	215.82	163.73	29.77	148.84	7.44	52.10	0.00	7.44	29.77	7.44	
112	54	963.77	221.67	134.93	269.86	115.65	48.19	57.83	0.00	67.46	19.28	0.00	0.00	9.64	
